id,value
1,0.963843331905082
2,0.774591542081907
3,0.208876348566264
4,0.308786832727492
5,0.971342450240627
6,0.584900093497708
7,0.760823625372723
8,0.372709394432604
9,0.769193911226466
10,0.5376771830488
11,0.913995449664071
12,0.185296441894025
13,0.282218417385593
14,0.0949624131899327
15,0.210487079108134
16,0.977098996285349
17,0.296302175382152
18,0.725983026903123
19,0.78568783425726
20,0.105417746119201
21,0.2395946290344
22,0.270544872386381
23,0.10105849406682
24,0.11791384126991
25,0.991236555855721
26,0.986054297303781
27,0.137067471398041
28,0.90530958166346
29,0.576301837572828
30,0.395448859082535
31,0.449802484130487
32,0.70650190114975
33,0.0825027457904071
34,0.339312580181286
35,0.680787551216781
36,0.316949248081073
37,0.831568598048761
38,0.215172082651407
39,0.497948936186731
40,0.276049672625959
41,0.192023318726569
42,0.950621264055371
43,0.321725537767634
44,0.478456383803859
45,0.0279925719369203
46,0.547459468012676
47,0.644240220542997
48,0.596263544633985
49,0.321937375701964
50,0.891114312456921
51,0.626256947405636
52,0.302904915297404
53,0.388204663759097
54,0.160475092474371
55,0.862551897531375
56,0.953101213788614
57,0.563644683454186
58,0.329547413391992
59,0.996617218712345
60,0.234819675795734
61,0.612671965267509
62,0.10817852942273
63,0.487032569944859
64,0.099445823347196
65,0.16116576269269
66,0.282992870779708
67,0.583872335962951
68,0.731707658851519
69,0.165520911104977
70,0.866467763204128
71,0.708574137184769
72,0.76039953622967
73,0.147084108553827
74,0.358056963421404
75,0.673332481412217
76,0.523822601651773
77,0.349801792763174
78,0.240530701586977
79,0.0581917962990701
80,0.236619742121547
81,0.890077913179994
82,0.81182741606608
83,0.747516322182491
84,0.154911725781858
85,0.124742088606581
86,0.974725808482617
87,0.436129996087402
88,0.464016626821831
89,0.16529808123596
90,0.584936557337642
91,0.27077801944688
92,0.230096920393407
93,0.691207831492648
94,0.282852399628609
95,0.810398066183552
96,0.0939166070893407
97,0.822030071169138
98,0.427428280701861
99,0.755887259729207
100,0.662385506555438
101,0.444527396932244
102,0.627146184444427
103,0.000465349061414599
104,0.217243514023721
105,0.704872245667502
106,0.215166488196701
107,0.813933721277863
108,0.307763874297962
109,0.687742685666308
110,0.932681079022586
111,0.115779664833099
112,0.127705687889829
113,0.678223857423291
114,0.42894859588705
115,0.834400977939367
116,0.971438066801056
117,0.0704889777116477
118,0.45978519320488
119,0.70158511842601
120,0.0869401679374278
121,0.992944016121328
122,0.253098994027823
123,0.0495384356472641
124,0.686324946815148
125,0.786927352659404
126,0.353606075979769
127,0.366441444959491
128,0.287100130692124
129,0.0799729123245925
130,0.365454269573092
131,0.178013814613223
132,0.536053720628843
133,0.503948712022975
134,0.945035103475675
135,0.341321283951402
136,0.464713774155825
137,0.0825311816297472
138,0.860106846084818
139,0.395660639973357
140,0.735899350373074
141,0.171743405982852
142,0.454761631321162
143,0.770204759435728
144,0.0626499983482063
145,0.815081495093182
146,0.301142524462193
147,0.364671027986333
148,0.312112791929394
149,0.0373699648771435
150,0.51880492339842
151,0.679013415705413
152,0.903233560267836
153,0.0255266984459013
154,0.989078270737082
155,0.302887624595314
156,0.939138400601223
157,0.687607581727207
158,0.447036994853988
159,0.816478138789535
160,0.0394991978537291
161,0.739031685516238
162,0.348719493718818
163,0.829250823473558
164,0.535541391698644
165,0.274545363616198
166,0.800948211923242
167,0.091644694795832
168,0.832107774214819
